# symbol,name,sector,approx_market_cap_billions_usd
WRB,W.R. Berkley,Financials,24
EPAM,EPAM Systems,Technology,10
CPT,Camden Property,Real Estate,12
JKHY,Jack Henry,Financials,13
CAG,Conagra Brands,Consumer Staples,12
KMX,CarMax,Consumer Discretionary,12
ROL,Rollins,Industrials,22
AKAM,Akamai,Technology,14
LKQ,LKQ,Consumer Discretionary,10
JNPR,Juniper Networks,Technology,12
SJM,J.M. Smucker,Consumer Staples,12
PODD,Insulet,Health Care,18
INCY,Incyte,Health Care,13
TECH,Bio-Techne,Health Care,11
CRL,Charles River Labs,Health Care,10
ALB,Albemarle,Materials,10
EMN,Eastman Chemical,Materials,11
UHS,Universal Health Services,Health Care,12
REG,Regency Centers,Real Estate,13
NRG,NRG Energy,Utilities,20
GL,Globe Life,Financials,10
AES,AES,Utilities,10
HII,Huntington Ingalls,Industrials,8
LW,Lamb Weston,Consumer Staples,9
ALLE,Allegion,Industrials,12
PNW,Pinnacle West,Utilities,10
CHRW,C.H. Robinson,Industrials,12
TAP,Molson Coors,Consumer Staples,11
BXP,BXP,Real Estate,11
SWK,Stanley Black & Decker,Industrials,13
MTCH,Match Group,Communication Services,8
AOS,A.O. Smith,Industrials,10
HRL,Hormel Foods,Consumer Staples,16
FRT,Federal Realty,Real Estate,9
BG,Bunge,Consumer Staples,12
CPB,Campbell Soup,Consumer Staples,13
IPG,Interpublic,Communication Services,10
DAY,Dayforce,Industrials,10
TFX,Teleflex,Health Care,9
APA,APA,Energy,8
SOLV,Solventum,Health Care,12
MOS,Mosaic,Materials,9
HSIC,Henry Schein,Health Care,9
AIZ,Assurant,Financials,11
NWSA,News Corp A,Communication Services,15
BEN,Franklin Resources,Financials,10
FMC,FMC,Materials,5
RVTY,Revvity,Health Care,13
MKTX,MarketAxess,Financials,8
PAYC,Paycom,Industrials,12
IVZ,Invesco,Financials,8
WYNN,Wynn Resorts,Consumer Discretionary,9
LVS,Las Vegas Sands,Consumer Discretionary,35
CZR,Caesars Entertainment,Consumer Discretionary,8
HAS,Hasbro,Consumer Discretionary,9
MHK,Mohawk Industries,Consumer Discretionary,8
BWA,BorgWarner,Consumer Discretionary,8
DVA,DaVita,Health Care,12
PARA,Paramount Global,Communication Services,8
WBD,Warner Bros. Discovery,Communication Services,25
FOXA,Fox Corp A,Communication Services,20
QRVO,Qorvo,Technology,7
MPWR,Monolithic Power,Technology,30
NWS,News Corp B,Communication Services,15
FOX,Fox Corp B,Communication Services,20
ERIE,Erie Indemnity,Financials,18
PLTR,Palantir,Technology,250
DELL,Dell Technologies,Technology,80
CRWD,CrowdStrike,Technology,90
SMCI,Super Micro Computer,Technology,25
ABNB,Airbnb,Consumer Discretionary,85
GNRC,Generac,Industrials,9
VTR,Ventas,Real Estate,25
SLG,SL Green,Real Estate,5
BIIB,Biogen,Health Care,20
VTRS,Viatris,Health Care,12
CTLT,Catalent,Health Care,10
OGN,Organon,Health Care,4
XRAY,Dentsply Sirona,Health Care,4
ENPH,Enphase Energy,Technology,8
SEDG,SolarEdge,Technology,1.5
PWR,Quanta Services,Industrials,45
URI,United Rentals,Industrials,50
EQT,EQT,Energy,35
CTRA,Coterra Energy,Energy,18
MRO,Marathon Oil,Energy,15
RCL,Royal Caribbean,Consumer Discretionary,65
NCLH,Norwegian Cruise Line,Consumer Discretionary,10
AAL,American Airlines,Industrials,8
ALK,Alaska Air,Industrials,8
LYV,Live Nation,Communication Services,30
PINS,Pinterest,Communication Services,20
SNAP,Snap,Communication Services,15
TPR,Tapestry,Consumer Discretionary,20
RL,Ralph Lauren,Consumer Discretionary,15
NKE,Nike,Consumer Discretionary,110
VFC,VF,Consumer Discretionary,7
ADM,Archer-Daniels-Midland,Consumer Staples,25
GIS,General Mills,Consumer Staples,35
TSN,Tyson Foods,Consumer Staples,20
WBA,Walgreens Boots,Consumer Staples,10
COR,Cencora,Health Care,55
MTD,Mettler-Toledo,Health Care,25
PSA,Public Storage,Real Estate,50
IRM,Iron Mountain,Real Estate,30
WPC,W. P. Carey,Real Estate,13
